OBJECTID,Gestor de red,Nombre del gestor,Provincia,Municipio,Coordenada X,Coordenada Y,Subestación,Nivel de tensión (kV),Capacidad disponible (MW),Nudo reservado,Capacidad ocupada (MW),Capacidad admitida y no evaluada (MW),Nudo 0*,x,y
2804,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Navarra,Milagro,600331.39,4678398.57,STR MILAGRO,13,0,No,7.52,0,0,600331.39,4678398.57
2805,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Navarra,Milagro,600331.39,4678398.57,STR MILAGRO,66,0,No,0,0,1,600331.39,4678398.57
2806,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Navarra,Milagro,600331.39,4678398.57,STR MILAGRO,66,0,No,0,0,1,600331.39,4678398.57
2807,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Navarra,Monreal/Elo,622568.07,4729247.66,STR MONREAL,13,0,No,0.41,0,0,622568.07,4729247.66
2808,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Navarra,Monreal/Elo,622568.07,4729247.66,STR MONREAL,66,0,No,0,0,1,622568.07,4729247.66
2809,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Navarra,Murieta,570362.6,4723105.58,STR MURIETA,13,0,No,2.7,0,0,570362.6,4723105.58
2810,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Navarra,Murieta,570362.6,4723105.58,STR MURIETA,66,0,No,0,0,1,570362.6,4723105.58
2811,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Navarra,Murieta,570362.6,4723105.58,STR MURIETA,13,0,No,4.34,0,0,570362.6,4723105.58
2812,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Navarra,Murieta,570362.6,4723105.58,STR MURIETA,66,0,No,0,0,1,570362.6,4723105.58
2813,R1-001,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",Navarra,Oiz,606901.71,4773602.85,STR OITZ,13,0,No,0.25,0,0,606901.71,4773602.85
